"Story","Title","Result","Date","Stability","Duration (s)"
"Git hub test","Test git hub user","SUCCESS","2021-04-15T15:17:19.538-04:00[America/New_York]","0.0","1.77"
"Git hub test","Test git hub user2","SUCCESS","2021-04-15T15:17:21.314-04:00[America/New_York]","0.0","1.55"
"Git hub test","Test git hub user3","SUCCESS","2021-04-15T15:17:22.865-04:00[America/New_York]","0.0","0.35"
